Wall time,Step,Value
1557844038.0720067,0,6.708637237548828
1557845147.355624,1,4.51420259475708
1557846263.1688666,2,3.5149850845336914
1557847364.8018363,3,2.762930393218994
1557848465.483283,4,2.345393419265747
1557849568.4319696,5,1.9486284255981445
1557850682.8956833,6,1.666182518005371
1557851785.7407475,7,1.394332766532898
1557852899.0349908,8,1.2233973741531372
1557853997.241017,9,1.0337079763412476
1557855132.6366196,10,0.9527061581611633
1557856310.8455045,11,0.8444064259529114
1557857403.5462928,12,0.7973092198371887
1557858519.8122935,13,0.7123833298683167
1557859624.5530255,14,0.6482284069061279
1557860747.185885,15,0.635409414768219
1557861847.6471846,16,0.597844123840332
1557863006.56026,17,0.5412518382072449
1557864080.341763,18,0.5501402020454407
1557865200.1608717,19,0.5445156097412109
1557866303.8014429,20,0.4941999316215515
1557867418.8134518,21,0.4489358067512512
1557868528.6955094,22,0.4320584535598755
1557869643.1387064,23,0.40934255719184875
1557870792.6233442,24,0.4950806796550751
1557871891.1457193,25,0.38116878271102905
1557872999.756848,26,0.394692987203598
1557874102.8913794,27,0.3637792766094208
1557875210.3607156,28,0.37017878890037537
1557876317.413988,29,0.3377664387226105
1557877402.0331223,30,0.34104210138320923
1557878443.555173,31,0.3200405538082123
1557879496.508374,32,0.3076494336128235
1557880535.2646742,33,0.31492772698402405
1557881589.425516,34,0.2844131588935852
1557882626.9167974,35,0.289482057094574
1557883678.3121498,36,0.2894269824028015
1557884718.7531395,37,0.28513744473457336
1557885772.133926,38,0.26792261004447937
1557886815.7686973,39,0.2585282623767853
1557887873.459275,40,0.2570604085922241
1557888926.9582982,41,0.26474839448928833
1557889969.9527543,42,0.24177594482898712
1557891013.5581553,43,0.23916545510292053
1557892065.8070354,44,0.22791063785552979
1557893125.5887675,45,0.2278832644224167
1557894165.1004477,46,0.23613280057907104
1557895220.6989899,47,0.2247869223356247
1557896257.9178371,48,0.23441986739635468
1557897307.0566337,49,0.21849359571933746
1557898341.9286015,50,0.2192242443561554
1557899395.5518029,51,0.20264843106269836
1557900429.177471,52,0.2036566436290741
1557901488.9502435,53,0.21524156630039215
1557902530.3493512,54,0.20910422503948212
1557903586.7702596,55,0.21976210176944733
1557904628.9871259,56,0.20078547298908234
1557905684.5366018,57,0.18989981710910797
1557906725.6706264,58,0.17979907989501953
1557907778.4202125,59,0.18302246928215027
1557908816.6921866,60,0.21052193641662598
1557909863.4719718,61,0.17348191142082214
1557910903.685069,62,0.18008768558502197
1557911953.4162014,63,0.16877751052379608
1557912984.7296147,64,0.16698981821537018
1557914041.8816283,65,0.16689462959766388
1557915075.982182,66,0.179024338722229
1557916135.488345,67,0.15858030319213867
1557917200.7911158,68,0.16317160427570343
1557918249.7879496,69,0.15188804268836975
1557919289.2299354,70,0.24935966730117798
1557920336.1147695,71,0.1593393236398697
1557921368.6582553,72,0.15430794656276703
1557922422.753215,73,0.15413875877857208
1557923466.5270104,74,0.16164280474185944
1557924531.1172948,75,0.1572883278131485
1557925579.5854766,76,0.14693601429462433
1557926631.4461572,77,0.15961968898773193
1557927682.9997113,78,0.15811005234718323
1557928741.5136771,79,0.14152395725250244
1557929783.7365758,80,0.14489781856536865
1557930836.182904,81,0.14081570506095886
1557931874.0960565,82,0.1402999460697174
1557932931.2704046,83,0.1463947892189026
1557933966.0376215,84,0.1485111117362976
1557935010.6284506,85,0.14422273635864258
1557936050.6890013,86,0.12272877991199493
1557937103.8094015,87,0.13681432604789734
1557938142.5906484,88,0.1324799656867981
1557939191.2536368,89,0.13359664380550385
1557940231.2055838,90,0.135199636220932
1557941286.313036,91,0.1360456794500351
1557942324.4324327,92,0.11592718958854675
1557943374.5263062,93,0.12131673842668533
1557944408.6816373,94,0.11972992867231369
1557945470.2875834,95,0.13941384851932526
1557946513.0502691,96,0.12159110605716705
1557947565.1062021,97,0.13350661098957062
1557948610.4642506,98,0.13105228543281555
1557949670.5121446,99,0.1323152482509613
