Wall time,Step,Value
1550261013.6228857,0,7.432956695556641
1550261916.4636931,1,6.012917995452881
1550262799.0087135,2,5.767632007598877
1550263712.1141326,3,5.23847770690918
1550264596.2106113,4,4.578768730163574
1550265511.069094,5,2.257589817047119
1550266388.7303257,6,1.430548906326294
1550267298.230425,7,1.161434531211853
1550268170.1068733,8,1.0866622924804688
1550269083.6543016,9,0.923430860042572
1550269957.901149,10,0.863136351108551
1550270867.0574226,11,0.8138359189033508
1550271746.2760477,12,0.7485091686248779
1550272651.159386,13,0.7037600874900818
1550273528.2389147,14,0.6774065494537354
1550274436.326077,15,0.7074775695800781
1550275307.0882754,16,0.5654904842376709
1550276217.018315,17,0.5313072800636292
1550277104.513238,18,0.6899069547653198
1550278001.8760982,19,0.48470455408096313
1550278912.447786,20,0.4750509560108185
1550279790.4832273,21,0.44983673095703125
1550280692.2046678,22,0.5992651581764221
1550281570.3404214,23,0.4017189145088196
1550282477.2675896,24,0.4182851016521454
1550283369.2037935,25,0.4104941487312317
1550284281.7799687,26,0.3605555295944214
1550285169.0724216,27,0.46323853731155396
1550286075.4365196,28,0.3544282019138336
1550286957.8289511,29,0.567995548248291
1550287864.8348897,30,0.3214801847934723
1550288747.1040392,31,0.3384767174720764
1550289646.6103506,32,0.32492393255233765
1550290533.009445,33,0.3025827407836914
1550291441.476347,34,0.3006027042865753
1550292323.7091856,35,0.34232717752456665
1550293221.6349752,36,0.2809458374977112
1550294113.0771077,37,0.2735203802585602
1550295001.638236,38,0.2902553677558899
1550295888.1153913,39,0.4247089922428131
1550296796.403658,40,0.7005442380905151
1550297675.7466974,41,0.27533894777297974
1550298581.7944593,42,0.27934059500694275
1550299467.8902292,43,0.2312096357345581
1550300358.4629514,44,0.3650462329387665
1550301252.5138438,45,0.2530454397201538
1550302143.0617878,46,0.22560007870197296
1550303031.2131298,47,0.24086949229240417
1550303994.6394598,48,0.2784988284111023
1550304985.1764112,49,0.25335538387298584
1550305945.5968132,50,0.25965413451194763
1550306917.6468818,51,0.2119954377412796
1550307901.3968375,52,0.32069137692451477
1550308881.3085291,53,0.199801504611969
1550309863.6323078,54,0.27253103256225586
1550310867.969298,55,0.1884695440530777
1550311849.4303753,56,0.34252414107322693
1550312827.0702348,57,0.23036518692970276
1550313812.9391146,58,0.18632259964942932
1550314793.324236,59,0.2152891755104065
1550315762.110762,60,0.24138695001602173
1550316729.0554328,61,0.17628444731235504
1550317706.494993,62,0.2547488212585449
1550318695.7421703,63,0.17096930742263794
1550319664.507864,64,0.19920891523361206
1550320632.5612304,65,0.31167492270469666
1550321610.6851125,66,0.16585774719715118
1550322596.00819,67,0.19417190551757812
1550323572.297186,68,0.19578947126865387
1550324532.9203637,69,0.18477582931518555
1550325505.4089527,70,1.3048439025878906
1550326479.4079049,71,0.18207624554634094
1550327468.229294,72,0.1615309864282608
1550328440.0843773,73,0.1731579601764679
1550329417.949759,74,0.1806631237268448
1550330402.8818104,75,0.19058643281459808
1550331391.409959,76,0.1875935196876526
1550332454.5411649,77,0.1550714373588562
1550333377.1780314,78,0.1894322633743286
1550334261.9725335,79,0.19253024458885193
1550335175.3716898,80,0.1612796187400818
1550336046.460594,81,0.40178415179252625
1550336957.788132,82,0.14530932903289795
1550337825.0473244,83,0.15737740695476532
1550338727.8150651,84,0.1742878407239914
1550339633.4047937,85,0.14754056930541992
1550340506.4750547,86,0.36126643419265747
1550341409.8714004,87,0.1610066443681717
1550342289.3771074,88,0.1403035819530487
1550343183.405528,89,0.14753374457359314
1550344074.6729965,90,0.2075902372598648
1550344966.4658525,91,0.22532346844673157
1550345858.2949297,92,0.14098994433879852
1550346753.2246268,93,0.1387462466955185
1550347638.4383862,94,0.14895518124103546
1550348547.0438964,95,0.5808338522911072
1550349432.8886132,96,0.14468887448310852
1550350338.530198,97,0.14087681472301483
1550351207.6326885,98,0.2502184808254242
1550352114.1534083,99,0.12668201327323914
