Wall time,Step,Value
1557844038.072183,0,90.25215911865234
1557845147.355729,1,85.0082015991211
1557846263.1690316,2,80.839599609375
1557847364.8019893,3,76.34632110595703
1557848465.483391,4,72.54061126708984
1557849568.4320726,5,67.92391967773438
1557850682.8957922,6,63.68466567993164
1557851785.7408483,7,59.06203079223633
1557852899.035145,8,55.470481872558594
1557853997.2411323,9,50.571285247802734
1557855132.6367273,10,48.29042434692383
1557856310.8456929,11,44.71339416503906
1557857403.5464034,12,43.072086334228516
1557858519.8128705,13,39.48891830444336
1557859624.5531292,14,36.80754089355469
1557860747.1859941,15,36.65773010253906
1557861847.6472912,16,35.05646514892578
1557863006.5603704,17,32.21560287475586
1557864080.3418684,18,32.63410186767578
1557865200.1609747,19,31.81720542907715
1557866303.801556,20,29.826818466186523
1557867418.8136017,21,27.70058822631836
1557868528.6956174,22,26.57905387878418
1557869643.1388915,23,25.31961441040039
1557870792.623507,24,27.933469772338867
1557871891.145829,25,23.922969818115234
1557872999.7569506,26,24.82990264892578
1557874102.8914828,27,22.79050636291504
1557875210.3608186,28,23.075313568115234
1557876317.4140933,29,21.2988338470459
1557877402.0332274,30,21.61271858215332
1557878443.5552814,31,20.1651668548584
1557879496.5084748,32,19.452129364013672
1557880535.2647824,33,19.868412017822266
1557881589.4256222,34,17.830026626586914
1557882626.9169052,35,18.080121994018555
1557883678.3132966,36,18.049589157104492
1557884718.753243,37,17.824865341186523
1557885772.13408,38,16.542510986328125
1557886815.7688015,39,15.80889892578125
1557887873.4595222,40,15.817846298217773
1557888926.9584026,41,16.200637817382812
1557889969.9529417,42,14.780160903930664
1557891013.5582645,43,14.21609878540039
1557892065.8072126,44,13.525644302368164
1557893125.588873,45,13.441771507263184
1557894165.1005547,46,14.314291000366211
1557895220.6991446,47,13.366353988647461
1557896257.9179437,48,14.31028938293457
1557897307.0567842,49,13.014249801635742
1557898341.9287803,50,12.893982887268066
1557899395.5519273,51,11.83365535736084
1557900429.1775756,52,12.010228157043457
1557901488.950356,53,12.757163047790527
1557902530.3494596,54,12.2254056930542
1557903586.770415,55,12.86263656616211
1557904628.987234,56,11.615866661071777
1557905684.5367181,57,10.840054512023926
1557906725.6707344,58,9.973236083984375
1557907778.4203317,59,10.026155471801758
1557908816.6922934,60,12.262093544006348
1557909863.4721472,61,9.502434730529785
1557910903.6851737,62,10.233074188232422
1557911953.4163048,63,9.139397621154785
1557912984.7297223,64,8.987261772155762
1557914041.8817818,65,9.024665832519531
1557915075.982285,66,9.904725074768066
1557916135.488496,67,8.439891815185547
1557917200.791227,68,8.80726146697998
1557918249.788102,69,7.848841190338135
1557919289.2300415,70,12.509778022766113
1557920336.1149557,71,8.453688621520996
1557921368.6584108,72,8.117097854614258
1557922422.753365,73,8.102582931518555
1557923466.527119,74,8.738911628723145
1557924531.1174002,75,8.47925090789795
1557925579.5855846,76,7.594412326812744
1557926631.4463255,77,8.465086936950684
1557927682.9998229,78,8.31857681274414
1557928741.5138266,79,7.202953815460205
1557929783.7367635,80,7.5234599113464355
1557930836.183074,81,7.180674076080322
1557931874.096173,82,7.149970531463623
1557932931.2705631,83,7.504952430725098
1557933966.0377383,84,7.811328887939453
1557935010.6285582,85,7.460144519805908
1557936050.6891077,86,5.638583183288574
1557937103.8095927,87,6.841583251953125
1557938142.5907507,88,6.5080366134643555
1557939191.2537448,89,6.539003372192383
1557940231.2056987,90,6.639285087585449
1557941286.3132253,91,6.723167419433594
1557942324.4325416,92,5.187329292297363
1557943374.526468,93,5.52023458480835
1557944408.681745,94,5.5461320877075195
1557945470.2877445,95,6.981235504150391
1557946513.0504296,96,5.734076499938965
1557947565.1063101,97,6.574415683746338
1557948610.46436,98,6.515590190887451
1557949670.512299,99,6.489170551300049
