Wall time,Step,Value
1550261013.6230085,0,95.56074523925781
1550261916.4638233,1,94.70794677734375
1550262799.0088463,2,94.1784439086914
1550263712.1143289,3,93.13703155517578
1550264596.2108126,4,91.97860717773438
1550265511.0693262,5,85.15125274658203
1550266388.7305262,6,79.20417022705078
1550267298.2306595,7,75.40342712402344
1550268170.1070716,8,73.97062683105469
1550269083.6544442,9,70.70356750488281
1550269957.9014425,10,69.18029022216797
1550270867.0575576,11,67.46096801757812
1550271746.2761924,12,66.30136108398438
1550272651.159526,13,64.86127471923828
1550273528.239055,14,63.99244689941406
1550274436.3263621,15,64.26911926269531
1550275307.0885587,16,60.09011459350586
1550276217.018455,17,58.8851318359375
1550277104.5134377,18,61.082847595214844
1550278001.876292,19,56.7939453125
1550278912.4479184,20,56.51475524902344
1550279790.483361,21,55.24554443359375
1550280692.2049625,22,57.610450744628906
1550281570.340563,23,52.784603118896484
1550282477.2677286,24,53.488380432128906
1550283369.2039292,25,52.49976348876953
1550284281.7801585,26,50.522064208984375
1550285169.0725644,27,53.649574279785156
1550286075.4366565,28,50.18156814575195
1550286957.8290918,29,52.435916900634766
1550287864.8363528,30,47.79661560058594
1550288747.1041782,31,48.497501373291016
1550289646.610482,32,47.673587799072266
1550290533.009582,33,46.6537971496582
1550291441.4764848,34,46.388671875
1550292323.7093759,35,48.34435272216797
1550293221.6351085,36,44.653038024902344
1550294113.077298,37,43.64753723144531
1550295001.6384287,38,45.50012969970703
1550295888.1155488,39,48.97400665283203
1550296796.4037964,40,47.44758605957031
1550297675.7468276,41,44.09058380126953
1550298581.794605,42,42.946163177490234
1550299467.890419,43,39.517818450927734
1550300358.4631543,44,44.716896057128906
1550301252.5139773,45,41.98607635498047
1550302143.0619254,46,39.24199295043945
1550303031.2134032,47,40.83734893798828
1550303994.6397703,48,41.955322265625
1550304985.1765506,49,41.44325256347656
1550305945.5969474,50,40.710533142089844
1550306917.6470153,51,37.5620002746582
1550307901.3970094,52,42.74015808105469
1550308881.3086634,53,36.215415954589844
1550309863.6325085,54,39.763710021972656
1550310867.9695165,55,34.69271469116211
1550311849.4305098,56,41.14664077758789
1550312827.0703957,57,39.215030670166016
1550313812.9392781,58,34.3184700012207
1550314793.324417,59,37.3458251953125
1550315762.1109126,60,37.402488708496094
1550316729.0555682,61,32.88055419921875
1550317706.4951272,62,37.667877197265625
1550318695.7423608,63,31.992294311523438
1550319664.5080683,64,35.29435729980469
1550320632.5613635,65,38.87260818481445
1550321610.6852503,66,31.511409759521484
1550322596.0084116,67,34.34606170654297
1550323572.2973924,68,34.79909896850586
1550324532.9205122,69,33.731292724609375
1550325505.4091518,70,52.56975173950195
1550326479.408097,71,33.71002960205078
1550327468.2294302,72,31.160123825073242
1550328440.084588,73,32.485328674316406
1550329417.949958,74,33.75550079345703
1550330402.8819573,75,33.66676330566406
1550331391.410167,76,33.442420959472656
1550332454.5413005,77,29.91925048828125
1550333377.178165,78,33.283966064453125
1550334261.972724,79,32.63474655151367
1550335175.3718257,80,31.117610931396484
1550336046.4608717,81,41.293094635009766
1550336957.7883298,82,28.121782302856445
1550337825.0474608,83,29.168060302734375
1550338727.8151977,84,31.81320571899414
1550339633.4049296,85,28.706172943115234
1550340506.4752567,86,37.27006149291992
1550341409.871604,87,30.94721221923828
1550342289.377248,88,27.497026443481445
1550343183.4058406,89,29.099918365478516
1550344074.6731908,90,34.61750793457031
1550344966.4660826,91,33.95603561401367
1550345858.2950704,92,26.89146614074707
1550346753.224857,93,26.762863159179688
1550347638.438517,94,28.65671730041504
1550348547.0440426,95,37.896183013916016
1550349432.8887606,96,27.66946792602539
1550350338.530396,97,26.889677047729492
1550351207.6328237,98,32.063724517822266
1550352114.15356,99,24.722105026245117
